iter	Passed	Remaining
432	1647	2157
433	1651	2154
434	1656	2151
435	1660	2147
436	1664	2144
437	1668	2140
438	1673	2138
439	1679	2137
440	1682	2132
441	1686	2129
442	1690	2125
443	1694	2122
444	1697	2117
445	1701	2114
446	1706	2110
447	1709	2106
448	1713	2102
449	1716	2097
450	1720	2094
451	1724	2090
452	1727	2085
453	1730	2081
454	1735	2078
455	1739	2074
456	1742	2070
457	1745	2065
458	1748	2061
459	1753	2058
460	1756	2053
461	1758	2048
462	1761	2043
463	1765	2039
464	1769	2035
465	1772	2031
466	1775	2026
467	1779	2022
468	1783	2019
469	1788	2016
470	1792	2013
471	1799	2013
472	1803	2009
473	1807	2005
474	1810	2001
475	1815	1998
476	1818	1993
477	1821	1989
478	1825	1985
479	1829	1982
480	1833	1978
481	1836	1973
482	1840	1969
483	1843	1965
484	1847	1962
485	1851	1958
486	1855	1954
487	1858	1950
488	1863	1946
489	1866	1942
490	1870	1938
491	1874	1935
492	1880	1934
493	1899	1945
494	1902	1940
495	1905	1936
496	1909	1932
497	1913	1928
498	1916	1923
499	1919	1919
500	1921	1914
501	1926	1911
502	1930	1907
503	1934	1903
504	1938	1899
505	1945	1899
506	1951	1897
507	1955	1893
508	1960	1891
509	1963	1886
510	1967	1882
511	1970	1877
512	1976	1876
513	1979	1872
514	1982	1867
515	1985	1862
516	1990	1859
517	1993	1855
518	1996	1850
519	1999	1845
520	2003	1841
521	2007	1838
522	2010	1833
523	2014	1829
524	2016	1824
525	2021	1822
526	2025	1817
527	2028	1813
528	2031	1808
529	2035	1804
530	2039	1801
531	2043	1797
532	2046	1792
533	2049	1788
534	2053	1784
535	2057	1780
536	2060	1776
537	2064	1772
538	2068	1769
539	2072	1765
540	2075	1760
541	2079	1757
542	2084	1754
543	2094	1755
544	2100	1753
545	2105	1751
546	2109	1746
547	2112	1742
548	2117	1739
549	2121	1735
550	2124	1731
551	2128	1727
552	2133	1724
553	2136	1720
554	2139	1715
555	2142	1711
556	2146	1707
557	2152	1705
558	2156	1700
559	2158	1696
560	2162	1692
561	2168	1689
562	2171	1685
563	2174	1680
564	2177	1676
565	2182	1673
566	2186	1669
567	2189	1665
568	2192	1660
569	2197	1657
570	2200	1653
571	2204	1649
572	2207	1644
573	2211	1641
574	2215	1637
575	2219	1633
576	2222	1629
577	2225	1624
578	2230	1621
579	2234	1618
580	2238	1614
581	2245	1612
582	2249	1609
583	2252	1604
584	2256	1600
585	2261	1597
586	2265	1593
587	2268	1589
588	2271	1584
589	2276	1581
590	2279	1577
591	2283	1573
592	2287	1569
593	2290	1565
594	2294	1561
595	2297	1557
596	2300	1553
597	2304	1549
598	2308	1545
599	2311	1541
600	2314	1536
601	2318	1532
602	2321	1528
603	2325	1524
604	2328	1520
605	2331	1516
606	2334	1511
607	2338	1507
608	2341	1503
609	2344	1498
610	2347	1494
611	2350	1489
612	2353	1485
613	2356	1481
614	2359	1476
615	2362	1472
616	2365	1468
617	2368	1463
618	2371	1459
619	2374	1455
620	2377	1450
621	2381	1447
622	2386	1444
623	2390	1440
624	2394	1436
625	2397	1432
626	2401	1428
627	2404	1424
628	2407	1420
629	2410	1415
630	2414	1411
631	2418	1408
632	2422	1404
633	2424	1399
634	2428	1395
635	2431	1391
636	2435	1387
637	2438	1383
638	2441	1379
639	2445	1375
640	2448	1371
641	2452	1367
642	2455	1363
643	2458	1358
644	2461	1354
645	2464	1350
646	2469	1347
647	2472	1342
648	2475	1338
649	2478	1334
650	2481	1330
651	2486	1327
652	2492	1324
653	2495	1320
654	2501	1317
655	2506	1314
656	2509	1310
657	2513	1306
658	2517	1302
659	2520	1298
660	2524	1294
661	2529	1291
662	2535	1288
663	2542	1286
664	2547	1283
665	2550	1279
666	2553	1275
667	2557	1270
668	2560	1266
669	2564	1262
670	2567	1258
671	2570	1254
672	2574	1250
673	2577	1246
674	2581	1242
675	2584	1238
676	2588	1234
677	2591	1230
678	2595	1226
679	2603	1225
680	2606	1220
681	2610	1217
682	2613	1213
683	2616	1208
684	2619	1204
685	2622	1200
686	2627	1196
687	2630	1193
688	2634	1188
689	2637	1184
690	2640	1180
691	2644	1177
692	2648	1173
693	2652	1169
694	2655	1165
695	2659	1161
696	2662	1157
697	2666	1153
698	2669	1149
699	2672	1145
700	2676	1141
701	2681	1138
702	2685	1134
703	2696	1133
704	2700	1129
705	2709	1128
706	2715	1125
707	2718	1121
708	2723	1117
709	2726	1113
710	2730	1109
711	2733	1105
712	2738	1102
713	2741	1098
714	2745	1094
715	2748	1090
716	2752	1086
717	2756	1082
718	2759	1078
719	2762	1074
720	2765	1070
721	2768	1066
722	2771	1061
723	2774	1057
724	2777	1053
725	2780	1049
726	2783	1045
727	2786	1041
728	2789	1036
729	2792	1032
730	2795	1028
731	2798	1024
732	2803	1021
733	2806	1017
734	2809	1012
735	2812	1008
736	2815	1004
737	2819	1000
738	2821	996
739	2825	992
740	2830	989
741	2836	986
742	2841	982
743	2845	979
744	2849	975
745	2852	971
746	2855	967
747	2858	963
748	2874	963
749	2877	959
750	2880	955
751	2883	951
752	2886	946
753	2890	943
754	2893	939
755	2919	942
756	2925	939
757	2938	938
758	2946	935
759	2952	932
760	2956	928
761	2965	926
762	2970	922
763	2973	918
764	2978	914
765	2981	910
766	2985	906
767	2988	902
768	2992	898
769	2996	895
770	3000	891
771	3003	887
772	3006	883
773	3010	879
774	3013	875
775	3016	870
776	3019	866
777	3022	862
778	3027	858
779	3031	855
780	3035	851
781	3040	847
782	3045	844
783	3049	840
784	3052	836
785	3056	832
786	3060	828
787	3063	824
788	3066	820
789	3070	816
790	3074	812
791	3077	808
792	3080	804
793	3083	800
794	3087	796
795	3091	792
796	3095	788
797	3098	784
798	3102	780
799	3106	776
800	3110	772
801	3113	768
802	3116	764
803	3119	760
804	3123	756
805	3127	752
806	3130	748
807	3133	744
808	3137	740
809	3140	736
810	3143	732
811	3146	728
812	3149	724
813	3153	720
814	3156	716
815	3159	712
816	3162	708
817	3165	704
818	3169	700
819	3172	696
820	3176	692
821	3180	688
822	3184	684
823	3189	681
824	3194	677
825	3197	673
826	3200	669
827	3204	665
828	3207	661
829	3211	657
830	3214	653
831	3218	649
832	3221	645
833	3224	641
834	3226	637
835	3230	633
836	3233	629
837	3237	625
838	3239	621
839	3243	617
840	3246	613
841	3249	609
842	3252	605
843	3255	601
844	3258	597
845	3261	593
846	3264	589
847	3268	585
848	3271	581
849	3274	577
850	3277	573
851	3281	570
852	3286	566
853	3289	562
854	3293	558
855	3297	554
856	3301	550
857	3305	547
858	3308	543
859	3312	539
860	3315	535
861	3318	531
862	3321	527
863	3325	523
864	3330	519
865	3334	515
866	3339	512
867	3343	508
868	3355	505
869	3357	501
870	3361	497
871	3363	493
872	3366	489
873	3369	485
874	3372	481
875	3375	477
876	3378	473
877	3381	469
878	3384	465
879	3387	461
880	3390	457
881	3393	454
882	3396	450
883	3399	446
884	3402	442
885	3405	438
886	3409	434
887	3412	430
888	3415	426
889	3418	422
890	3421	418
891	3424	414
892	3428	410
893	3431	406
894	3433	402
895	3436	398
896	3439	394
897	3444	391
898	3447	387
899	3450	383
900	3453	379
901	3456	375
902	3477	373
903	3480	369
904	3484	365
905	3487	361
906	3493	358
907	3498	354
908	3510	351
909	3515	347
910	3518	343
911	3522	339
912	3525	335
913	3529	332
914	3532	328
915	3535	324
916	3539	320
917	3542	316
918	3545	312
919	3549	308
920	3552	304
921	3555	300
922	3558	296
923	3561	292
924	3564	288
925	3567	285
926	3570	281
927	3573	277
928	3576	273
929	3580	269
930	3582	265
931	3586	261
932	3589	257
933	3592	253
934	3595	249
935	3598	246
936	3602	242
937	3605	238
938	3609	234
939	3611	230
940	3615	226
941	3619	222
942	3623	219
943	3627	215
944	3632	211
945	3639	207
946	3642	203
947	3645	199
948	3649	196
949	3653	192
950	3656	188
951	3659	184
952	3662	180
953	3666	176
954	3669	172
955	3672	169
956	3676	165
957	3679	161
958	3683	157
959	3686	153
960	3690	149
961	3693	145
962	3697	142
963	3701	138
964	3705	134
965	3708	130
966	3712	126
967	3716	122
968	3719	118
969	3722	115
970	3725	111
971	3729	107
972	3732	103
973	3735	99
974	3739	95
975	3742	92
976	3745	88
977	3748	84
978	3751	80
979	3754	76
980	3757	72
981	3760	68
982	3764	65
983	3767	61
984	3770	57
985	3773	53
986	3778	49
987	3782	45
988	3786	42
989	3790	38
990	3794	34
991	3797	30
992	3800	26
993	3803	22
994	3806	19
995	3810	15
996	3814	11
997	3817	7
998	3820	3
999	3823	0
